"A persistent wallet balance corruption bug was traced to a dual-write anti-pattern where the outbox-submitter worker's syncWalletBalanceFromBlockchain function wrote raw smallest-unit values directly to a standard-denomination database column without performing unit conversion, while a projector simultaneously applied correct relative updates to the same column. A systemic RBAC API response wrapping bug was discovered during end-to-end Playwright testing of the admin promotion flow, where all eight RBAC fetch functions returned the full API response wrapper instead of the inner data payload, causing permission counts to display as zero and checkboxes to fail to render. The OAuth2 PKCE SSO flow from Hub to administration portal required resolving five cascading layers of issues including an HTTP method mismatch, expired access tokens from a raw cookie reader that did not trigger JWT refresh, and a database schema drift where a NOT NULL constraint on a plaintext authorisation code column conflicted with the hash-only storage design. A monolithic 427-line admin creation page triggered six ESLint errors and twenty-eight warnings under React Compiler strictness rules, with successive fix rounds exposing deeper architectural issues including memoisation dependency instability from optional chaining, setState-in-effect anti-patterns, and useRef access violations during render. A Prisma schema drift caused by another developer's compliance work produced 500 errors on the contexts endpoint during E2E testing, and a critical security vulnerability was identified where transfers could proceed without PIN verification when the PIN feature was disabled.",,"The balance corruption was resolved by adding the missing unit conversion division to both modular and legacy versions of the syncWalletBalanceFromBlockchain function. The systemic RBAC response wrapping bug was fixed by applying the response unwrapping pattern consistently across all eight fetch functions, which simultaneously repaired both the new promotion page and the existing roles management page. The OAuth2 SSO issues were resolved by switching the proxy from POST to GET with query parameters, replacing the raw cookie reader with a session handler that triggers JWT refresh, and executing a manual database column alteration with index removal to accommodate hash-only authorisation code storage. The monolithic admin page was progressively refactored over four rounds into a six-file component architecture comprising a 133-line orchestrator, four extracted components, and a custom permissions editor hook, with useEffect anti-patterns replaced by derived value patterns and render-time state adjustment. The Prisma schema drift was handled by adding error-tolerant handling to the institutional roles query, and the PIN bypass vulnerability was addressed by implementing a blocking state with redirect to security settings. Production readiness was further hardened through 16 fixes across 19 files including removal of a persisted plaintext OAuth authorisation code, CORS wildcard replacement with an explicit origin allowlist, and open redirect prevention via URL validation utilities."

WEEK ENDING,: March 21st 2026,
DAYS,DESCRIPTION OF WORK CARRIED OUT,ACTIVITY NO.
SUNDAY,Day off -- Ramadan observance,
MONDAY,"Monday - March 16, Multi-Repository Branch Synchronisation, Enterprise Playwright E2E Test Suite, Hub UI Redesign, Live Blockchain Transfer Verification with Critical Security Fixes, and Government Module Full-Stack Implementation (Phases 1-3)

Objective: Synchronise two diverged feature branches across an 8-repository, 7-submodule monorepo constellation, build and execute a 45-test Playwright E2E suite across two frontend applications, redesign the Hub page with glass-morphism brand identity, perform a live on-chain token transfer uncovering critical backend-frontend field name mismatches and a CQRS double-counting balance bug, and plan and implement three full phases of a government treasury module spanning scoped JWT authentication, three-eyes approval fixes, webhook dispatch infrastructure, OAuth2 PKCE SSO, and 49 new unit tests.

Cross-App Logout Commit Completion and Hub Sidebar Integration
The session opened by finalising uncommitted cross-application logout work from a previous session. The architecture addressed the fundamental challenge that the administrative frontend stored authentication tokens in localStorage via a Zustand state manager while the wallet frontend stored authentication in server-managed session cookies. The solution employed a redirect chain where each application exposed a remote-logout endpoint that the other redirected through during logout, with the wallet endpoint implemented as a server-side API route and the admin endpoint as a client-side page. Both endpoints validated the return URL against an allowlist to prevent open redirect vulnerabilities. A Hub navigation link was added to the admin sidebar using an external URL pattern with a dedicated icon, and all 10 commits across 3 repositories passed pre-commit lint hooks on the first attempt.

Multi-Repository Branch Merge Strategy and Execution
A significant architectural divergence had developed between two feature branches across the entire repository constellation, with one branch containing marketplace development (28 use cases, 27 API endpoints, credit scoring UI, integration test frameworks) and the other containing SSO/OAuth2 work (admin promotion flows, Hub context router, PKCE authentication, cross-app logout). A dry-run conflict analysis was performed on every diverged repository using temporary test branches with no-commit no-fast-forward flags, revealing zero conflicts across all submodules because the two branches had touched completely different files. The merge was executed bottom-up (submodules first, parent repository last) to ensure submodule commit pointers were correct when the parent merged. Four submodules were merged sequentially, bringing in 551 files with 68,000 lines from the backend, 34 files with 3,800 lines from the admin frontend, 13 files with 1,100 lines from the wallet frontend, and 6 files with 717 lines from the website. The parent repository required manual resolution of 4 conflicts consisting of 3 submodule pointer conflicts and 1 work record conflict. After merging, both branches were fast-forwarded to identical commit SHAs across all 8 repositories, with the final tally being 16 commits across 5 repositories affecting 880+ files and +110,000 lines of code.

Enterprise Playwright E2E Test Suite Development and Iterative Fix Cycle
Following the branch merge, a comprehensive end-to-end testing mission was executed across both frontend applications. Six new Playwright test files were created totalling 45 tests: three for the wallet (Hub page tests with 11 cases, cross-app logout with 7 cases, and OAuth SSO with 6 cases) and three for the admin (SSO PKCE login with 8 cases, cross-app logout with 7 cases, and Hub sidebar link with 6 cases). Initial runs exposed 11 failures requiring 8 distinct fixes including a strict mode violation resolved by switching from getByText to getByRole, a TanStack Query retry count issue, a React useEffect timing race addressed with waitForFunction, an addInitScript re-seeding issue, a cross-origin window.location.replace override replaced with page.route interception, a SecurityError resolved by capturing redirect URLs via route handlers, and a Zustand persist behaviour mismatch. After all fixes, the full suite achieved 100% pass rate at 45/45 tests passing in 21.4 seconds for the wallet and 25.7 seconds for the admin. Turbopack was enabled for the Playwright dev server to improve test execution performance.

Hub Page Glass-Morphism Redesign
The Hub page serving as the post-login context router for multi-context participants was redesigned from a visually basic layout to a premium launchpad matching the platform brand system. The redesign introduced a hero section with an avatar circle displaying user initials on a brand purple gradient, a time-based greeting function, and staggered entrance animations with 75ms delays per card. Glass-morphism cards were implemented with backdrop blur and border styling, context-specific hover colours and shadow tints, and gradient icon containers with distinct colour themes. Notification badges were replaced with animated pulse dot pills, and section dividers were added between card groups. Seven files were modified and 5 E2E test selectors were updated to match the new time-based greeting format using regex patterns.

Live Blockchain Transfer Test and Critical Security Query Fixes
A live end-to-end transfer test was executed using Playwright against real backend services, sending 500 tokens through the actual UI with fee calculation at 1.25 fee at 0.25%, PIN verification, and blockchain confirmation at block height 49 with a verified transaction hash. This test uncovered two critical production bugs in the security query hooks where backend and frontend field names were mismatched: the PIN status hook checked pinData.pinEnabled while the backend returned pinSet, and the PIN verification hook checked result.verified while the backend returned the value at result.data.valid. Response normalisation was applied across five hooks (usePinStatus, usePinVerification, use2FAVerification, useBackupCodeVerification, and useSecuritySettings) using fallback chains. A subsequent correction revealed that PIN is optional and off by default, requiring the security verification step to skip PIN entirely when not configured.

CQRS Balance Double-Counting Bug Resolution
The live transfer test also exposed a balance discrepancy where the receiver showed an excess of exactly 500 tokens and the sender showed a deficit of exactly 501.25 tokens. Investigation traced the root cause to two independent systems updating the same cachedBalance column: the outbox-submitter performed an absolute SET via syncWalletBalanceFromBlockchain after each transaction commit, and approximately 300 milliseconds later the projector applied a relative INCREMENT/DECREMENT from the blockchain event, doubling the effect. The bug was self-correcting on each subsequent transfer, making it appear intermittent and difficult to detect. The fix removed syncWalletBalanceFromBlockchain calls from three outbox-submitter command handlers for P2P transfers, QR payments, and attorney fee payments, retaining it only in the user registration handler where a single-event limitation prevents the projector from receiving genesis balance events. Both affected wallets were reconciled via SQL and the fix was deployed as a new Docker image to the Kubernetes namespace.

Government Module Planning and Codebase Reconnaissance (Phase 0)
The session pivoted to planning the government treasury module with a complete analysis of the 1,535-line specification covering 20 sections. Four parallel research agents explored the backend service (6 controllers, 20+ use cases, Clean Architecture), frontend code (8 complete wallet pages, 5 admin status views, 7-step onboarding wizard), chaincode (27 existing Go functions), and authentication service (zero existing scoped JWT code). The gap analysis revealed the codebase was approximately 70-85% built, with the major new work being scoped JWT authentication, inter-government lending, and government transitions. A 7-phase implementation plan was produced, reducing estimated effort from 55-78 hours to 38-54 hours.

Government Module Phase 1: Scoped JWT Backend and Frontend Context Switch
Phase 1 delivered the complete scoped JWT foundation with 18 backend commits implementing a ScopedSession Prisma model with 14 columns, a SwitchContextUseCase with PIN verification and brute-force lockout, optional 2FA, government role validation, existing session revocation, and 30-minute scoped JWT issuance with treasury-specific claims. An ExitContextUseCase handled session revocation with idempotency guarantees, and a requireScope middleware was added for government-only endpoint protection. The frontend track produced 9 commits implementing API proxy routes for context switching, a ScopedTokenProvider with sessionStorage persistence and 1-second countdown timer, a ContextSwitchModal with PIN input, optional 2FA, and error recovery steps, Hub integration where government cards trigger the security gate, and a government layout guard with expiry warnings at 5/4/3/2/1 minute marks. Phase 1C added 29 unit tests (21 for SwitchContextUseCase and 8 for ExitContextUseCase), bringing the full authentication service suite to 124/124 passing.

Government Module Phase 2: Three-Eyes Approval Critical Fixes and Webhook Infrastructure
Code exploration revealed that the three-eyes multi-signature approval flow was fundamentally broken due to four backend gaps: the addApprover method transitioned directly to TX_APPROVED bypassing the authorisation phase, the execute use case rejected transactions not in TX_APPROVED status, the controller auto-executed on approval regardless of pending authorisation, and the signatory rule lookup was a TODO stub returning null. All four gaps were fixed with a PENDING_AUTHORIZATION status transition, extended execute use case acceptance, gated auto-execution, and cascading signatory rule lookup with account-level and treasury-level fallback queries. Twenty unit tests validated all four fixes. A complete webhook dispatch service was built with HMAC-SHA256 signed delivery, fire-and-forget semantics, 10-second timeouts, and 4 CRUD use cases. The full government service suite reached 114 unit tests passing.

Government Module Phase 3: OAuth2 PKCE SSO for Institutional Admin Centre
Phase 3 wired OAuth2 PKCE single sign-on into the Institutional Admin Centre, replacing the development-only credentials login. Exploration confirmed the authentication service already had the client registered with PKCE S256 enforcement and 5-minute authorisation codes, meaning zero backend changes were required. All 4 implementation files were frontend-only: PKCE utilities for code verifier generation and challenge computation, a Zustand auth store extension with setTokensFromOAuth, a login page SSO button, and an OAuth callback page that validates the state parameter, exchanges the authorisation code via PKCE, stores tokens, and redirects to the institution selector. The complete session delivered 51 commits across 3 repositories, 49 new unit tests, 4 critical backend bug fixes, a webhook dispatch service, and OAuth2 PKCE SSO.

Outcome: Two diverged feature branches were synchronised across all 8 repositories with zero merge conflicts on submodules, a 45-test Playwright E2E suite achieved 100% pass rate across both frontends, a live blockchain transfer exposed and led to fixes for critical security query mismatches and a CQRS balance double-counting bug, and three full phases of the government treasury module were delivered with scoped JWT authentication, three-eyes approval corrections, webhook infrastructure, OAuth2 PKCE SSO, and 49 new unit tests. The platform is positioned for Phase 4 (inter-government lending) with a verified foundation layer.","2.1 Analyze current system
2.2 Identify requirements and deficiencies of the existing system
3.2 Design process outlines
3.3 User Interfaces/User experience/HCI/Screen formats and layouts
4.2 Program code
4.3 Test programs
5.2 Integration
6.4 Installation of software
8.4 Security
19.2 Implement security protocols
23.6 Maintain version control
25.2 Implement smart contracts"
TUESDAY,Day off -- Ramadan observance,
WEDNESDAY,"Wednesday - March 18, Government Module Completion: Five-Agent Verification Audit, Inter-Government Lending Full Stack, Transition and Budget Governance, Export and Reconciliation Toolkit, Security Hardening, CQRS Worker Pipeline, Kubernetes Deployment, and Live Playwright Verification

Objective: Complete all remaining phases of a sovereign government treasury module by executing a five-agent quality audit, implementing inter-government lending across chaincode, backend, and frontend, building government transition wizards and budget cycle management with time-locked governance workflows, delivering export, reconciliation, and PDF reporting capabilities, hardening all new endpoints with role-based authorisation and CSV injection protection, building a typed enterprise-grade CQRS worker pipeline with 17 command and event handlers, deploying all components to a Kubernetes cluster with raw SQL schema migrations, and verifying the complete system end-to-end via live Playwright browser testing.

Five-Agent Verification Audit of Foundation Phases
Before proceeding with new feature construction, a deliberate verification pause was executed to audit the foundation layer delivered in the previous session. Five specialised agents were deployed in parallel: a three-eyes backend integration auditor, a scoped JWT security auditor, an OAuth2 PKCE security auditor, a TypeScript and test verification agent running strict-mode compilation across five codebases, and a frontend integration auditor. All five completed within six minutes and uncovered critical issues. The most critical finding was that the government API client attached the regular session access token instead of the scoped JWT to all government API calls, meaning the entire scoped JWT system provided zero actual authorisation enforcement. The second critical finding was that the transaction expiry cleanup job only queried PENDING_INITIATION and PENDING_APPROVAL statuses, meaning transactions stuck in PENDING_AUTHORIZATION would accumulate indefinitely. Additional findings included the logout use case not revoking scoped sessions, the default requiredAuthorizers value of 1 blocking simple treasuries, a cross-treasury navigation path bypassing the security gate, and 8 TypeScript strict-mode errors in context-switch test mocks. All 2 critical, 4 medium, and 2 low findings were resolved across 10 commits in 3 repositories, with post-fix verification confirming 124/124 authentication service tests and 114/114 government service unit tests passing.

Phase 4A: Inter-Government Lending Chaincode Implementation
The lending phase added 747 lines of new Go code to the government smart contract implementing seven sovereign lending functions. RequestInterGovernmentLoan at approximately 110 lines validates both treasuries are in ACTIVE status and enforces a 50% balance cap. ApproveInterGovernmentLoan at approximately 60 lines performs lender role verification and transitions from PENDING to APPROVED. AcceptInterGovernmentLoan at approximately 130 lines re-validates the lender balance as a race condition guard, then atomically moves funds via sharedDebit and sharedCredit, creating two GovernmentTransaction records. RecordLoanRepayment at approximately 100 lines uses idempotency keys and auto-completes loans when fully repaid. GetInterGovernmentLoans at approximately 60 lines supports LENDER/BORROWER/ALL filter modes with composite key scanning and deduplication. GetLoanRepaymentSchedule at approximately 40 lines performs sorted composite key scans by payment number. DefaultInterGovernmentLoan at approximately 40 lines guards against non-active states before transitioning to DEFAULTED. All timestamps used deterministic getTransactionTimestamp, and five events were emitted for downstream projector consumption.

Phase 4B: Backend Lending Infrastructure with Clean Architecture
Twenty-one files (12 new, 9 updated) were implemented following the established Clean Architecture pattern. The port layer defined ILoanRepository with LoanRecord and RepaymentRecord types. The infrastructure layer implemented a Prisma repository against InterGovernmentLoan and LoanRepayment database tables. Five Zod request schemas and seven response types were defined as DTOs. Seven use cases were created for request, approve, accept, repay, get-loans, get-schedule, and default operations, each with proper input validation and error handling. A loan controller exposed seven HTTP handlers with authentication and request validation, and the dependency injection container was updated with full wiring of the repository, all seven use cases, the controller, and the routes.

Phase 4D: Government Lending Frontend Page
A 728-line lending page was built with summary statistic cards for total loans, as lender, and as borrower, role filter tabs for All/As Lender/As Borrower, a responsive loans table with mobile card fallback, and colour-coded status badges. A RequestLoanDialog provided a validated form for lender ID, amount, term, interest rate, grace period, and purpose. A RepaymentScheduleDialog displayed per-installment views with payment status indicators. A handshake icon was added to the government sidebar navigation.

Phase 5: Government Transitions and Budget Cycle Governance
A key architectural insight drove the design: transitions and budgets are governance features requiring multi-step workflows with intermediate states, time-locked activation, rollback capability, and three-eyes approval. A new treasury-governance.prisma schema file was created with four models (TransitionEvent, PersonnelChange, BudgetCycle, BudgetAllocation) and seven enums, separating governance concerns from the existing 558-line treasury operations schema. Three parallel agents executed simultaneously: the schema agent built Prisma models, the transition backend agent implemented seven use cases including CreateTransitionUseCase for DRAFT creation, ActivateTransitionUseCase for DRAFT-to-COOLING_OFF with computed cooling-off and rollback deadlines at 48 and 72 hours respectively, RollbackTransitionUseCase with rollback window validation, and CancelTransitionUseCase. The budget backend agent implemented seven parallel use cases including CreateBudgetCycleUseCase with duplicate fiscal year validation, ProposeBudgetUseCase with allocation-total-versus-treasury-balance validation, ApproveBudgetUseCase enforcing one active cycle per treasury, and ReconcileBudgetCycleUseCase computing actuals with carry-forward policies of LAPSE, CARRY_FORWARD, or PARTIAL_CARRY. The frontend delivered a 653-line transitions page with status-badged lists, expandable cards showing cooling-off countdowns and rollback deadlines, and lifecycle action buttons, plus a 710-line budgets page with fiscal-year sorted lists, expandable allocation tables with per-account progress bars, and propose/approve/reconcile lifecycle actions. Six Go chaincode functions were added for transition activation with CouchDB rich queries, transition rollback, budget cycle creation with composite key indexing, budget reconciliation, treasury budget queries, and budget ceiling checking.

Phase 6: Export, Reconciliation Alerts, and PDF Reporting
Approximately 60% of the Phase 6 infrastructure already existed including a PDF generator service with two working methods, API credentials CRUD with four use cases, audit log CSV generation, and budget reconciliation from Phase 5. The remaining work connected the dots: a ReconciliationAlert Prisma model and repository were created for tracking discrepancies between chaincode and database state. The PDF generator service was extended with generateTreasurySummaryPdf producing multi-section A4 documents. An ExportTransactionsUseCase queried up to 100,000 rows and generated CSV with nine columns. An ExportTreasurySummaryUseCase aggregated treasury data and generated PDF buffers. Four export controller endpoints served CSV and PDF binary responses with proper Content-Disposition headers. The frontend received an exportApi module with four functions, an Export CSV blob download button on the transactions page, and a Download PDF Summary button on the treasury dashboard.

Phase 7: E2E Verification and Security Audit
Two agents ran in parallel for the final quality gate. The TypeScript and test verification agent confirmed zero errors across all components: the government service passed 20/20 tests, the authentication service passed 124/124 tests, the chaincode compiled all 40 Go functions cleanly, and the Prisma schema validated successfully. The security audit agent uncovered two medium-severity findings: all Phase 4-6 routes used only JWT authentication without role-based authorisation, fixed by adding requireInstitutionalRole middleware with permission-specific checks (canInitiateTransfer, canAssignRoles, canManageBudget, canViewReports) to all 24 routes across 4 route files; and the CSV export escapeCsvField function did not sanitise formula injection characters, fixed with prefix sanitisation for cells starting with dangerous characters.

CQRS Worker Pipeline: Typed Command and Event Handlers
The worker pipeline was the final deferred component connecting backend use cases to blockchain chaincode. A strict quality bar was enforced with zero any types, typed payload interfaces for every handler, mandatory validatePayload functions, payload unknown validated and narrowed to typed interfaces, and zero silent catch blocks. Eight outbox command handlers were built (RequestLoanCommand with 8 fields, GovtApproveLoanCommand with 3, AcceptLoanCommand with 5, RecordLoanRepaymentCommand with 6, DefaultLoanCommand with 3, ActivateTransitionCommand with 5, RollbackTransitionCommand with 3, and ApproveBudgetCommand with 7). Nine projector event handlers were built for loan requested, approved, disbursed with repayment schedule generation, repayment recorded with completion checking, defaulted, transition activated with role change application, transition rolled back with role reversal, budget activated, and budget reconciled. All 17 handlers were registered in their respective handler registries with Fabric identity mapping.

Kubernetes Deployment: Database Migration, Chaincode, and Service Rollout
The Prisma migration tool failed due to shadow database conflicts with pre-existing types, so raw SQL DDL statements were executed directly against the PostgreSQL pod via kubectl exec. Seven enums and five tables were created with idempotent exception blocks and IF NOT EXISTS clauses with foreign keys, proper indexes, and CASCADE deletes. The chaincode was deployed via the CCAAS image swap pattern with a Docker build compiling all 40 Go functions into a single binary, pushed to the internal registry, and the StatefulSet updated. The backend service Docker build surfaced 10 TypeScript errors absent from local compilation due to a different Prisma client version in the Docker layer, requiring type fixes across three repository files. Both CQRS workers were built, pushed, and deployed with zero restart loops. All five components (chaincode, government service, outbox-submitter, projector, and PostgreSQL) reached healthy running status.

Live Playwright Verification Against Running Kubernetes Services
Final browser testing was performed using Playwright against the live cluster. All seven core application pages loaded successfully with verified response times (dashboard at 1,727ms, Hub at 1,674ms). The government context switch flow was verified end-to-end: Hub card click opened the ContextSwitchModal, PIN entry succeeded, scoped JWT was issued with 30-minute TTL, and navigation to the government dashboard completed. All six government sub-pages correctly redirected to the Hub when no scoped token was present. Three bugs were discovered and fixed during live testing: a Zod schema requiring UUID format was relaxed to accept any non-empty string, an error display showing [object Object] was fixed with proper nested object extraction, and the institutional roles query was rewritten from a deprecated legacy table to the current role assignment model with status filtering and permission derivation. The authentication service was rebuilt and redeployed three times to incorporate these fixes.

Outcome: All seven phases of the government treasury module were completed in a single session delivering approximately 70 commits across 4 repositories with approximately 12,000 lines of new code, 13 new chaincode functions, 25+ backend use cases, 17 typed CQRS worker handlers, 4 frontend pages, 5 new database tables, and 4 security findings resolved. The module is fully deployed to a Kubernetes cluster and verified end-to-end via live Playwright browser testing.","2.1 Analyze current system
2.2 Identify requirements and deficiencies of the existing system
3.1 Design data
3.2 Design process outlines
4.2 Program code
4.3 Test programs
5.3 System testing
6.4 Installation of software
8.4 Security
19.2 Implement security protocols
23.2 Implement DevOps practices
25.2 Implement smart contracts"
THURSDAY,Day off -- Ramadan observance,
FRIDAY,No work scheduled,
SATURDAY,No work scheduled,
,PROBELMS ENCOUNTERED,SOLUTIONS FOUND
"A five-agent verification audit of the government module foundation phases revealed that the government API client attached the regular session access token instead of the scoped JWT to all government API calls, meaning the entire scoped JWT authorisation system provided zero actual enforcement. A CQRS balance double-counting bug was discovered during a live blockchain transfer test where both the outbox-submitter and the projector independently updated the same cachedBalance column, doubling the effect of each transaction and producing a self-correcting pattern that made the bug appear intermittent. Critical backend-frontend field name mismatches were found across five security query hooks where the PIN status hook checked pinData.pinEnabled while the backend returned pinSet, and the PIN verification hook checked result.verified while the backend returned result.data.valid. The Prisma migration tool failed during Kubernetes deployment due to shadow database conflicts with pre-existing types, and the Docker build surfaced 10 TypeScript errors absent from local compilation due to a different Prisma client version in the Docker layer. During live Playwright verification, three additional bugs emerged including a Zod schema requiring UUID format that rejected valid identifiers, an error display rendering [object Object], and an institutional roles query built against a deprecated legacy table.",,"The scoped JWT enforcement gap was resolved by updating the government API client to attach the scoped token instead of the regular session token, and the transaction expiry cleanup job was extended to include the PENDING_AUTHORIZATION status. The CQRS double-counting bug was fixed by removing syncWalletBalanceFromBlockchain calls from three outbox-submitter command handlers for P2P transfers, QR payments, and attorney fee payments, retaining it only in the user registration handler where a single-event limitation prevents the projector from receiving genesis balance events, with affected wallet balances reconciled via direct SQL. The security query field mismatches were corrected by applying response normalisation with fallback chains across all five security hooks, and PIN verification was updated to skip entirely when PIN is not configured. The Prisma migration failure was bypassed by executing raw SQL DDL statements directly against the PostgreSQL pod via kubectl exec with idempotent exception blocks and IF NOT EXISTS clauses. The Docker-layer TypeScript errors were resolved with type fixes across three repository files, and all three live-testing bugs were fixed by relaxing the Zod schema to accept any non-empty string, extracting nested error objects properly, and rewriting the institutional roles query against the current role assignment model with status filtering and permission derivation."
